City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Lang Son,VN,75.06,overcast clouds,21.8333,106.7333,Khai Nga Hotel
346,Loikaw,MM,68.27,overcast clouds,19.6742,97.2094,Myat Nan Taw Hotel
349,Anan,JP,78.58,clear sky,33.9167,134.65,Royal Garden Hotel
352,Hualmay,PE,65.82,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
353,Barranca,PE,64.69,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
354,Kaabong,UG,67.17,overcast clouds,3.4836,34.1492,Madona Guest House Kaabong
356,Maarianhamina,AX,66.06,broken clouds,60.0973,19.9348,Park Alandia Hotel
357,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
367,Martapura,ID,73.49,few clouds,-3.4167,114.85,Montana Hotel Syariah
370,Szentgotthard,HU,77.43,broken clouds,46.9526,16.2736,Gastland Hotel Átrium
371,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
372,Punata,BO,74.98,overcast clouds,-17.55,-65.8333,"Salon de Eventos Capitolio,Punata"
374,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
375,Auburn,US,75.74,scattered clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
376,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
378,Chapais,CA,69.58,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
380,Talas,TR,77.67,clear sky,38.6908,35.5538,Fimaj Residence
382,San Fernando,PH,78.53,overcast clouds,15.0286,120.6898,Maharlika Hostel
383,Great Yarmouth,GB,66.42,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
384,Moscow,RU,75.72,broken clouds,55.7522,37.6156,"The Carlton, Moscow"
385,Hargeysa,SO,74.32,few clouds,9.56,44.065,City Center Hotel
386,Kalawit,PH,77.38,light rain,8.0667,122.5167,Ompoy Pension House
390,Nabire,ID,75.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
392,Moulins,FR,70.18,broken clouds,46.5,3.3333,ibis Moulins Sud
393,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
394,Chau Doc,VN,77.85,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
395,Axim,GH,73.65,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
398,Luanda,AO,68.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
405,Bandarbeyla,SO,76.03,clear sky,9.4942,50.8122,JABIR HOTEL
408,Ayrum,AM,71.24,broken clouds,41.1898,44.9014,Ayrum Hotel
409,Torgelow,DE,64.98,overcast clouds,53.6333,14.0167,Hotels Zum Forsthaus
410,Simao,CN,64.58,overcast clouds,22.7886,100.9748,Changyu Hotel
411,Amboasary,MG,67.66,scattered clouds,-25.0333,46.3833,Le Bon Samaritain
412,Padang,ID,77.13,overcast clouds,-0.9492,100.3543,Mercure Padang
414,Yanam,IN,76.66,overcast clouds,16.7333,82.2167,The Regency Hotel
418,Cherniyiv,UA,69.01,clear sky,48.8566,24.7139,Bystrytsia Lux
419,Montalvo,EC,78.49,light rain,-1.8,-79.3333,Motel Los Laureles
420,Gloucester,GB,65.16,scattered clouds,51.8657,-2.2431,Edward Hotel
422,Namatanai,PG,77.34,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
423,Shingu,JP,76.64,clear sky,33.7333,135.9833,Shingu UI Hotel
424,Soimi,RO,75.0,clear sky,46.6833,22.1167,Casa Ofe
428,Novokayakent,RU,78.49,overcast clouds,42.3937,47.9861,"Baza Otdykha ""Svyazist"""
429,Aras,ES,68.41,clear sky,42.5617,-2.356,Jardines de Viana Spa
430,Berezovyy,RU,62.73,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
